id,truck_id,leg,stops,total_km,total_cost,drive_hours,total_elapsed_h,days,departure_time,arrival_time,time_status,time_warning,timeline,created_at,is_active
1,T3,2,"[""WAREHOUSE_1"", ""STORE_3"", ""STORE_4"", ""WAREHOUSE_1""]",50.0,1135.64,0.91,1.41,1,08:00,09:24,ok,,"[{""time"": ""08:00"", ""event"": ""departure"", ""node_id"": ""WAREHOUSE_1"", ""note"": null}, {""time"": ""08:13"", ""event"": ""arrival"", ""node_id"": ""STORE_3"", ""note"": ""ELEVATED 128 kg""}, {""time"": ""08:28"", ""event"": ""departure"", ""node_id"": ""STORE_3"", ""note"": ""15 min unloading""}, {""time"": ""08:45"", ""event"": ""arrival"", ""node_id"": ""STORE_4"", ""note"": ""NORMAL 25 kg""}, {""time"": ""09:00"", ""event"": ""departure"", ""node_id"": ""STORE_4"", ""note"": ""15 min unloading""}, {""time"": ""09:24"", ""event"": ""return"", ""node_id"": ""WAREHOUSE_1"", ""note"": null}]",2026-04-03 20:52:01,1
2,T5,2,"[""WAREHOUSE_4"", ""STORE_14"", ""STORE_13"", ""STORE_16"", ""STORE_15"", ""WAREHOUSE_4""]",78.0,1771.59,1.42,2.42,1,08:00,10:25,ok,,"[{""time"": ""08:00"", ""event"": ""departure"", ""node_id"": ""WAREHOUSE_4"", ""note"": null}, {""time"": ""08:08"", ""event"": ""arrival"", ""node_id"": ""STORE_14"", ""note"": ""ELEVATED 105 kg""}, {""time"": ""08:23"", ""event"": ""departure"", ""node_id"": ""STORE_14"", ""note"": ""15 min unloading""}, {""time"": ""08:39"", ""event"": ""arrival"", ""node_id"": ""STORE_13"", ""note"": ""CRITICAL 200 kg""}, {""time"": ""08:54"", ""event"": ""departure"", ""node_id"": ""STORE_13"", ""note"": ""15 min unloading""}, {""time"": ""09:11"", ""event"": ""arrival"", ""node_id"": ""STORE_16"", ""note"": ""NORMAL 90 kg""}, {""time"": ""09:26"", ""event"": ""departure"", ""node_id"": ""STORE_16"", ""note"": ""15 min unloading""}, {""time"": ""09:52"", ""event"": ""arrival"", ""node_id"": ""STORE_15"", ""note"": ""NORMAL 30 kg""}, {""time"": ""10:07"", ""event"": ""departure"", ""node_id"": ""STORE_15"", ""note"": ""15 min unloading""}, {""time"": ""10:25"", ""event"": ""return"", ""node_id"": ""WAREHOUSE_4"", ""note"": null}]",2026-04-03 20:52:01,1
3,T6,2,"[""WAREHOUSE_5"", ""STORE_18"", ""STORE_20"", ""STORE_19"", ""STORE_17"", ""WAREHOUSE_5""]",69.0,1423.66,1.25,2.25,1,08:00,10:15,ok,,"[{""time"": ""08:00"", ""event"": ""departure"", ""node_id"": ""WAREHOUSE_5"", ""note"": null}, {""time"": ""08:13"", ""event"": ""arrival"", ""node_id"": ""STORE_18"", ""note"": ""ELEVATED 127 kg""}, {""time"": ""08:28"", ""event"": ""departure"", ""node_id"": ""STORE_18"", ""note"": ""15 min unloading""}, {""time"": ""08:41"", ""event"": ""arrival"", ""node_id"": ""STORE_20"", ""note"": ""NORMAL 60 kg""}, {""time"": ""08:56"", ""event"": ""departure"", ""node_id"": ""STORE_20"", ""note"": ""15 min unloading""}, {""time"": ""09:13"", ""event"": ""arrival"", ""node_id"": ""STORE_19"", ""note"": ""NORMAL 20 kg""}, {""time"": ""09:28"", ""event"": ""departure"", ""node_id"": ""STORE_19"", ""note"": ""15 min unloading""}, {""time"": ""09:43"", ""event"": ""arrival"", ""node_id"": ""STORE_17"", ""note"": ""ELEVATED 122 kg""}, {""time"": ""09:58"", ""event"": ""departure"", ""node_id"": ""STORE_17"", ""note"": ""15 min unloading""}, {""time"": ""10:15"", ""event"": ""return"", ""node_id"": ""WAREHOUSE_5"", ""note"": null}]",2026-04-03 20:52:01,1
4,T7,2,"[""WAREHOUSE_1"", ""STORE_1"", ""STORE_2"", ""WAREHOUSE_1""]",54.0,965.32,0.98,1.48,1,08:00,09:28,ok,,"[{""time"": ""08:00"", ""event"": ""departure"", ""node_id"": ""WAREHOUSE_1"", ""note"": null}, {""time"": ""08:15"", ""event"": ""arrival"", ""node_id"": ""STORE_1"", ""note"": ""CRITICAL 157 kg""}, {""time"": ""08:30"", ""event"": ""departure"", ""node_id"": ""STORE_1"", ""note"": ""15 min unloading""}, {""time"": ""08:54"", ""event"": ""arrival"", ""node_id"": ""STORE_2"", ""note"": ""ELEVATED 92 kg""}, {""time"": ""09:09"", ""event"": ""departure"", ""node_id"": ""STORE_2"", ""note"": ""15 min unloading""}, {""time"": ""09:28"", ""event"": ""return"", ""node_id"": ""WAREHOUSE_1"", ""note"": null}]",2026-04-03 20:52:01,1
5,T8,2,"[""WAREHOUSE_2"", ""STORE_5"", ""STORE_6"", ""STORE_7"", ""STORE_8"", ""WAREHOUSE_2""]",72.0,1287.1,1.31,2.31,1,08:00,10:18,ok,,"[{""time"": ""08:00"", ""event"": ""departure"", ""node_id"": ""WAREHOUSE_2"", ""note"": null}, {""time"": ""08:12"", ""event"": ""arrival"", ""node_id"": ""STORE_5"", ""note"": ""CRITICAL 233 kg""}, {""time"": ""08:27"", ""event"": ""departure"", ""node_id"": ""STORE_5"", ""note"": ""15 min unloading""}, {""time"": ""08:46"", ""event"": ""arrival"", ""node_id"": ""STORE_6"", ""note"": ""ELEVATED 165 kg""}, {""time"": ""09:01"", ""event"": ""departure"", ""node_id"": ""STORE_6"", ""note"": ""15 min unloading""}, {""time"": ""09:18"", ""event"": ""arrival"", ""node_id"": ""STORE_7"", ""note"": ""ELEVATED 62 kg""}, {""time"": ""09:33"", ""event"": ""departure"", ""node_id"": ""STORE_7"", ""note"": ""15 min unloading""}, {""time"": ""09:46"", ""event"": ""arrival"", ""node_id"": ""STORE_8"", ""note"": ""NORMAL 93 kg""}, {""time"": ""10:01"", ""event"": ""departure"", ""node_id"": ""STORE_8"", ""note"": ""15 min unloading""}, {""time"": ""10:18"", ""event"": ""return"", ""node_id"": ""WAREHOUSE_2"", ""note"": null}]",2026-04-03 20:52:01,1
